date,closing_price,prev_price_diff,opening_price,high_price,low_price,volume
2023.05.03,"65,400",300,"65,100","65,600","64,900","8,777,418"
2023.05.02,"65,700",200,"66,000","66,300","65,100","14,396,948"
2023.04.28,"65,500",900,"65,200","65,900","65,000","19,699,481"
2023.04.27,"64,600",500,"64,100","65,000","63,300","14,779,601"
2023.04.26,"64,100",500,"63,600","64,300","63,300","12,664,541"
2023.04.25,"63,600","1,600","65,300","65,400","63,400","16,193,271"
2023.04.24,"65,200",500,"65,300","65,700","64,800","12,986,581"
2023.04.21,"65,700",400,"65,800","65,900","65,400","10,538,622"
2023.04.20,"65,300",200,"65,100","65,300","64,600","9,501,169"
2023.04.19,"65,500",100,"65,500","65,800","65,300","10,255,985"
2023.04.18,"65,600",300,"65,900","66,000","64,800","14,802,060"
2023.04.17,"65,300",200,"65,000","65,600","64,700","13,486,618"
2023.04.14,"65,100","1,000","66,600","66,600","65,000","16,176,490"
2023.04.13,"66,100",100,"65,600","66,100","65,400","15,091,022"
2023.04.12,"66,000",100,"65,800","66,200","65,300","15,021,313"
2023.04.11,"65,900",200,"66,200","66,200","65,400","16,323,183"
2023.04.10,"65,700",700,"64,800","66,300","64,700","18,777,166"
2023.04.07,"65,000","2,700","63,800","65,200","63,800","27,476,120"
2023.04.06,"62,300","1,600","63,500","63,600","62,300","14,992,747"
2023.04.05,"63,900",300,"63,700","64,000","63,400","9,176,149"
2023.04.04,"63,600",500,"63,400","63,800","62,800","11,120,514"
2023.04.03,"63,100",900,"64,000","64,000","63,000","11,973,133"
2023.03.31,"64,000",800,"64,000","64,000","63,700","14,094,479"
2023.03.30,"63,200",500,"63,700","63,700","63,100","15,684,377"
2023.03.29,"62,700",200,"62,500","62,700","62,200","11,216,008"
2023.03.28,"62,900",800,"62,400","62,900","62,100","11,614,118"
2023.03.27,"62,100",900,"62,600","62,800","62,000","11,039,331"
2023.03.24,"63,000",700,"62,700","63,300","62,300","18,278,602"
2023.03.23,"62,300","1,200","60,600","62,300","60,600","15,381,057"
2023.03.22,"61,100",800,"61,000","61,200","60,500","8,978,591"
2023.03.21,"60,300",100,"60,500","60,700","60,100","8,318,514"
2023.03.20,"60,200","1,100","61,100","61,200","60,200","9,618,009"
2023.03.17,"61,300","1,400","60,800","61,300","60,600","14,090,110"
2023.03.16,"59,900",100,"59,200","60,200","59,100","10,611,939"
2023.03.15,"59,800",800,"60,000","60,300","59,600","10,482,149"
